,centromere_index,intensity,file,C1_Intensity,C2_Intensity,Label,Treatment,spots
210,37,244.55235,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,112,108,Cen7g11rFISH,Palbo_ON,39
211,38,203.91989,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,119,1729,Cen7g11rFISH,Palbo_ON,39
212,0,579.933,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,310,119,Cen7g11rFISH,Palbo_ON,45
213,1,538.8211,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,103,194,Cen7g11rFISH,Palbo_ON,45
214,2,452.2192,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,274,109,Cen7g11rFISH,Palbo_ON,45
215,3,444.19336,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,105,101,Cen7g11rFISH,Palbo_ON,45
216,4,431.56775,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,165,833,Cen7g11rFISH,Palbo_ON,45
217,5,448.93655,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,118,468,Cen7g11rFISH,Palbo_ON,45
218,6,460.3864,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,128,193,Cen7g11rFISH,Palbo_ON,45
219,7,382.43613,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,98,105,Cen7g11rFISH,Palbo_ON,45
220,8,377.75168,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,105,337,Cen7g11rFISH,Palbo_ON,45
221,9,369.34406,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,134,1084,Cen7g11rFISH,Palbo_ON,45
222,10,369.59497,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,4445,377,Cen7g11rFISH,Palbo_ON,45
223,11,354.44775,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,103,103,Cen7g11rFISH,Palbo_ON,45
224,12,364.87512,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,119,121,Cen7g11rFISH,Palbo_ON,45
225,13,368.04123,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,107,107,Cen7g11rFISH,Palbo_ON,45
226,14,366.88193,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,109,316,Cen7g11rFISH,Palbo_ON,45
227,15,355.57812,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,114,1340,Cen7g11rFISH,Palbo_ON,45
228,16,378.06625,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,111,172,Cen7g11rFISH,Palbo_ON,45
229,17,343.8248,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,125,273,Cen7g11rFISH,Palbo_ON,45
230,18,337.19177,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,101,603,Cen7g11rFISH,Palbo_ON,45
231,19,322.03528,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,5149,118,Cen7g11rFISH,Palbo_ON,45
232,20,324.28845,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,271,616,Cen7g11rFISH,Palbo_ON,45
233,21,314.84454,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,107,741,Cen7g11rFISH,Palbo_ON,45
234,22,313.3577,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,130,122,Cen7g11rFISH,Palbo_ON,45
235,23,296.3737,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,124,1202,Cen7g11rFISH,Palbo_ON,45
236,24,317.12448,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,102,1006,Cen7g11rFISH,Palbo_ON,45
237,25,291.26953,Cen7g11rFISH\Palbo_ON\IFISH001_005.tif,1095,8629,Cen7g11rFISH,Palbo_ON,45
